orgao;sigla;tipo;vinculacao;responsavel_legal;endereco;telefone;competencias;site_orgao
Escola de Saúde Pública do Estado de Minas Gerais;ESP;Órgão Autônomo;-;Mara Guarino Tanure;Avenida Augusto de Lima, 2061, Barro Preto, Belo Horizonte, 30190-009;(31) 3295-5360;https://www.almg.gov.br/legislacao-mineira/DEC/48711/2023/;http://www.esp.mg.gov.br
Secretaria de Estado de Fazenda;SEF;Secretaria de Estado;-;Luiz Claudio Fernandes Lourenço Gomes;6º e 7º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3217 6161;https://www.almg.gov.br/legislacao-mineira/DEC/48680/2023/;http://www.fazenda.mg.gov.br
Fundação Helena Antipoff;FHA;Fundação Pública;SEE;Luciene Millo Campos;Avenida São Paulo, 3996, Vila do Rosário, Ibirité, 32415-250;(31) 3521 9501;https://www.almg.gov.br/legislacao-mineira/DEC/47906/2020/;http://www.fha.mg.gov.br
Fundação Hospitalar do Estado de Minas Gerais;FHEMIG;Fundação Pública;SES;Renata Ferreira Leles Dias;Alamêda Álvaro Celso, 100, Centro, Belo Horizonte, 30150-260;(31) 3239 9500;https://www.almg.gov.br/legislacao-mineira/DEC/49085/2025/;http://www.fhemig.mg.gov.br
Fundação João Pinheiro;FJP;Fundação Pública;SEPLAG;Luciana Lopes Nominato Braga;Alameda das Acácias, 70, Campus Pampulha, São Luiz, Belo Horizonte, 31275-150;(31) 3448-9400;https://www.almg.gov.br/legislacao-mineira/DEC/47877/2020/;http://www.fjp.mg.gov.br
Fundação Ezequiel Dias;FUNED;Fundação Pública;SES;Felipe José Fonseca Attie;Rua Conde Pereira Carneiro, 80, Gameleira, Belo Horizonte, 30510-010;0800 283 1980;https://www.almg.gov.br/legislacao-mineira/DEC/47910/2020/;http://www.funed.mg.gov.br
Gabinete Militar do Governador;GMG;Órgão Autônomo;-;Coronel Paulo Roberto Bermudes Rezende;2º andar do Palácio Tiradentes - Cidade Administrativa, Belo Horizonte;(31) 3915 2912;https://www.almg.gov.br/legislacao-mineira/DEC/49154/2025/;http://www.gabinetemilitar.mg.gov.br
Secretaria de Estado de Governo ;SEGOV;Secretaria de Estado;-;Marcelo Guilherme de Aro Ferreira;1º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915 9099;https://www.almg.gov.br/legislacao-mineira/DEC/49110/2025/;http://www.governo.mg.gov.br
Fundação Centro de Hematologia e Hemoterapia do Estado de Minas Gerais;HEMOMINAS;Fundação Pública;SES;Júnia Guimarães Mourão Cioffi;Rua Grão Pará, 882, Administração Central, Funcionários, Belo Horizonte, 30150-341;(31) 3768-7450;https://www.almg.gov.br/legislacao-mineira/DEC/48023/2020/;http://www.hemominas.mg.gov.br
Instituto de Desenvolvimento do Norte e Nordeste de Minas;IDENE;Autarquia;SEDESE;Henrique Oliveira Carvalho;8º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915-5209;https://www.almg.gov.br/legislacao-mineira/DEC/47834/2020/;http://www.idene.mg.gov.br
Instituto Estadual de Florestas;IEF;Autarquia;SEMAD;Breno Esteves Lasmar; 1º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3915 1507;https://www.almg.gov.br/legislacao-mineira/DEC/47892/2020/;http://www.ief.mg.gov.br
Instituto Mineiro de Gestão das Águas ;IGAM;Autarquia;SEMAD;Marcelo da Fonseca;1º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3915 1752;https://www.almg.gov.br/legislacao-mineira/DEC/47866/2020/;http://www.igam.mg.gov.br
Empresa Mineira de Comunicação;EMC;Empresa Pública;SECOM;Gustavo Mendicino de Oliveira;Rua Tenente Brito Melo, 1090, BL 01, 2º e 3º andares, Barro Preto, Belo Horizonte, 30180-074;(31) 3298 3400;https://www.almg.gov.br/legislacao-mineira/DEC/47750/2019/;http://www.inconfidencia.com.br
Secretaria de Estado de Infraestrutura, Mobilidade e Parcerias;SEINFRA;Secretaria de Estado;-;Pedro Bruno Barros de Souza;7º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3915 8366;https://www.almg.gov.br/legislacao-mineira/DEC/49124/2025/;http://www.infraestrutura.mg.gov.br/
Instituto de Metrologia e Qualidade do Estado de Minas GeraiS;IPEM;Autarquia;SEPLAG;Francisco José da Fonseca;Rua Cristiano França Teixeira Guimarães, 80, Cinco, Contagem, 32010-130;(31) 3399 7100;https://www.almg.gov.br/legislacao-mineira/DEC/47899/2020/;http://www.ipem.mg.gov.br
Instituto de Previdência dos Servidores do Estado de Minas Gerais;IPSEMG ;Autarquia;SEPLAG;André Luiz Moreira dos Anjos; 4º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915-2617;https://www.almg.gov.br/legislacao-mineira/DEC/48823/2024/;http://www.ipsemg.mg.gov.br
